run,ssh_ready,postgres_ready,standby_ready,promotion_start,promotion_done,benchmark_resume,benchmark_start,benchmark_end,shutdown_request,shutdown_finished,ssh2_ready,postgres2_ready
1,11.240048132000084,11.37726837599621,202.07434913700126,205.29241179199744,205.948463789995,207.17560547000176,11.783684340000036,568.8560523580018,203.16037119699467,205.02822191299492,175.80145261199505,176.0869979439958
2,11.27839320100611,11.42258999000478,203.39456042600068,206.58943257800274,206.94262476300355,207.39992484200047,11.852403424003569,575.7097317170046,204.4119298459991,206.17851090600016,176.54250648300513,176.84179838000273
3,12.943836204001855,13.09052068299934,205.80844968200108,209.57799432799948,210.63486218600156,211.07835336800053,13.530313590999867,568.232155452999,206.85472774600203,208.5212243700007,177.36642905900226,177.55415053800243
4,12.506535019994772,12.658496550000564,195.98813705599605,199.23729183799878,199.59872148399882,200.07850668799801,13.089588413997262,563.8613467489922,196.93998278900108,198.80664689299738,174.57098946900078,174.86080994999793
5,13.28336147099617,13.422420161994523,199.79779267399863,202.88415270499536,203.1487342879991,203.60636285800138,13.85803411899542,569.4054119460052,200.80700575299852,202.62354549100564,178.81734299799427,179.09694529300032
6,11.223406566001358,11.36822475399822,195.08521846101212,198.08672232100798,198.4502707549982,198.90181504600332,11.80804801901104,570.1358227849996,196.10852304300352,197.82488589199784,173.24053870000353,173.50336123100715
7,13.161199558002409,13.307264300005045,198.7683394189953,201.84533805599494,202.51077802600048,203.20986616700247,13.740173173995572,572.2446866870014,199.76648393500363,201.58305433799978,176.63929603299766,176.95666043300298
8,11.371268742994289,11.525733357993886,197.43263652099995,200.4017469919927,201.06970205600373,201.7530411339976,11.966181220996077,569.9466173789988,198.41784737999842,200.13466625999718,175.61230853799498,175.92151540100167
9,10.924490411998704,11.07200535100128,198.34302264200232,201.4356741280062,202.0953623039968,202.76710180100054,11.50723267000285,570.7875676550029,199.39552487799665,201.161981104,175.41801507600758,175.69924360400182
10,11.28057686399552,11.427152870004647,196.68050396599574,199.91717738899752,200.28241578600137,200.75862170300388,11.871725948003586,571.4184992819937,197.75329985299322,199.67004568899574,177.1732283189922,177.48703964699234
